nitrogen,pm10
7.6,22.4
14.8,23.8
18.6,37
4.8,22.1
4,27
5.5,26.1
5.1,33.2
8.5,31.9
4.2,26.1
5.3,33.8
5.8,30.4
12.6,25.5
14.2,26.8
10.2,25.4
13.5,24
13.4,26.9
3.9,28.6
5.7,29.4
12.6,31
11.6,44
5.4,44.9
5.5,60.1
5.1,32.9
0.7,21.9
0.3,18.7
2.8,17.5
2.9,18.8
4.3,36.4
3.7,16.9
1.4,16.5
3.9,16.5
3.8,18.8
8.5,32.9
3.1,37.4
3.1,41.8
3.8,22.9
3.4,33.2
2.4,20.3
4.9,22
5.2,22.4
7.1,22.9
7,22.2
6.1,120
8.7,48.4
2.4,33.8
4.1,37.8
7.6,29.2
9.5,29
6.6,23.6
9.2,23.5
11.4,26.5
3.7,86.1
7.6,82
5.5,24.2
4.5,33.4
4.1,18.6
4.5,22.6
6.6,33.5
6.5,24.8
11.2,19.6
5.9,19.3
9.7,29.2
8.3,27.2
7.3,26.4
13.8,33.9
8.6,19
7.4,20
5.9,16.4
6.8,22.3
7.7,18.1
1.3,20.2
10.9,26.8
7.7,24.7
10.6,25.2
6.6,34.7
5.1,23.3
6.1,23.6
0.9,16.8
7.1,21.5
8.6,21.6
10.1,28
11.8,31.3
6.8,22.1
4.9,21.9
2.5,17.4
5.5,20.5
4,16.9
4.7,17.1
6.3,20.3
6.8,22.2
4.5,18.1
11.1,22.2
6.9,26.3
4.3,29.9
4.9,28.6
2.6,22.2
8.5,28
4.9,40.4
5.4,51.1
9.1,36.2
5.5,25.6
17.1,31.5
20.5,34.2
13.3,29.4
4.9,24.9
3,34
5.9,46.7
7,32.5
6.3,30.4
9.6,38.5
5.9,56.1
2.7,43.8
4.9,36.4
6.1,25.7
10.1,25.6
10.1,27.2
5.2,33.3
7.8,38.1
2.7,55.4
5.1,30.7
4.2,20.6
4,19.1
4.2,16.1
-0.1,16.9
3.2,16
3,34.9
5.6,25
4.5,31.3
1.4,19
0.5,20
4.1,23.7
9.4,25.2
4.3,24.4
4.1,21
7.8,25.6
7.9,24
2.3,19
8.7,20.7
6.8,16.6
9.1,26.4
13.7,24.5
10.8,32.3
7,17.5
3.6,29.1
2.9,16.5
3.8,18.1
7.8,23.8
7,26
6.5,23.7
5.2,17.5
5.6,27.6
1.3,22.3
3.8,20.5
3.9,25.2
2.7,24
3.3,16.6
5.3,18.2
8.1,21.6
19.3,35.1
7.7,29.6
7,22.5
2.6,15.7
10.8,28.7
11.6,29.7
4.8,24.6
6.6,20.2
10.2,22.5
3.1,20.4
1.3,19.6
4.9,24.5
5.8,28.3
11.3,31.7
11.6,32.5
12.2,34.5
9.9,36
3.2,59.7
11.1,26.9
4.6,79.2
3.7,38.9
8.2,32.8
7.8,41.4
2.5,50.2
3.7,24.2
9.3,28.8
18,32.9
4.8,47.9
6.6,36.7
7.6,37.8
4.6,19
8.4,19.4
17,26.8
6.2,21.9
6.2,29.2
7.3,27.3
7.3,26.4
3.6,26
1.3,46.2
7.8,42
8.9,43.2
10.8,30.9
5.6,45.3
4,59.2
3.6,22.6
2.6,19.6
11.5,26.4
10.1,31.3
5.5,35.3
3.4,35
3.4,26.7
4.6,27.7
3,18.9
3.4,20.6
4.9,25.1
8.2,39.7
7.7,27.4
6,20.1
8.2,22.2
2.7,19.4
11.3,29.5
14.3,33.6
10.3,35.7
9,30.1
9.7,27.5
5.5,30.8
5.8,25.6
11.9,31.4
4.4,40.3
3.5,30.3
4.1,33.2
4.5,23.1
5.9,24.3
6.6,32.1
6.4,29.9
3.4,31.5
5.3,28.9
6.8,29.5
5.8,33.4
5.5,22.9
1,21.9
5.3,24.1
9.9,26.1
3.8,50.3
6.7,22
3.7,16.6
5.6,20.1
11.5,27.2
10,30.2
8.3,34.7
1.8,25.1
6.3,18.6
5.1,22.7
9.3,25.1
4.2,29.8
2.7,27.2
3.1,24.4
1.9,19.1
1,17.6
3.3,22.5
5,19.8
6,20.5
9,22.6
11.1,30
14.9,33.3
11.9,27
5.8,27
9.3,16.6
6.8,29.9
4.3,38.5
4.9,40.4
4.1,34.7
4.5,23.9
8.7,32.2
8.4,29.7
7.2,30.5
4.8,28.1
5.5,43.2
3.8,30.1
6.8,27.2
12.6,29
13.6,42.9
7.5,38.5
5.1,30.2
4.3,30.9
2.2,24
9.2,28.9
6.6,42.8
5.3,28.3
4.9,25.4
2.7,30.9
1.5,60
2.6,29
2.6,19.8
5.7,22.4
13.2,27.7
12.9,34.1
3.4,38.5
9.2,35.9
4.4,22.8
4.4,24.4
10.7,31
9.5,31.5
6.2,24.8
6.3,26.6
5.8,28.6
5.4,29.1
5.3,42.9
4.5,27.3
4.6,21.7
7.8,27
8.9,31
10.1,31.3
4.9,28.5
3.5,38.9
3.4,112.2
5,30.6
3.1,31.2
3.5,24.5
7.3,32.3
2,28.1
0.2,21.6
5.1,28
3.8,27.8
4.4,28.2
2.4,28.6
2.8,27.7
2.8,19.9
1.3,19.2
2.6,19.1
4.1,22.8
4.7,37.7
6.7,26.5
3.2,27
1.6,22.5
6.2,23.2
5.6,25.8
6.7,32.6
3.6,34.2
6.2,23.5
8,34.1
5.6,24
2.4,21
6.2,67.5
5.3,35.1
1.4,26.7
4.4,18.4
6.1,21.3
5.4,17
7,19.8
8.9,28.2
16.4,46.6
8,39.3
4.3,25.3
6.1,20.5
5.1,35.5
10.1,22.4
17.3,35.2
5.1,50.7
6,23.4
9.2,20.7
5.6,37.7
6.5,24.1
7.7,18.1
6.1,16
7.8,18.1
7.5,23.7
8.6,31.4
5.7,16.4
6.8,23.3
5.8,81.2
4.9,27.2
10.2,25.6
8.5,39.7
7.1,44.2
4.2,26
3.9,29.7
5.4,22.7
10.1,21.3
5.9,17.7
5.5,21.7
5.2,30.3
5.1,24.3
5.7,22.4
8.9,83.4
8.4,22.7
11.1,25.9
11.5,34
10.1,36.6
9.8,24.7
5.8,19.5
3.5,20
4.7,18.2
6.8,29.5
6.5,35.7
7.1,21
8.3,19.2
7.4,17.7
6.3,14.9
6,15.8
7.2,15.9
9.1,21.4
12.5,25.1
19,35.4
3.7,33.8
4.5,25.5
5.8,19.7
8.4,20.6
10.3,34.4
8,21.8
13.4,30.5
10.7,23.9
10,27.2
7.3,18.8
9.9,27.3
8.9,26.1
8.1,26.8
12.1,28.3
9.2,27.2
9,28.7
4.4,30.5
7.9,25.1
9.7,21.9
21.2,39.1
14.3,31.5
13.9,37.2
7,39.1
6.3,26.4
10.3,26.7
11.3,25.2
11.6,26.8
21.9,34.4
24.3,43.1
10.5,30.2
7.8,20.6
3.9,22.7
4.5,29.4
7.5,93
7.8,23.9
11.9,27
9.8,34.2
5.3,49.2
6.7,26
8.8,25.1
18.3,25.2
11.2,23
17.4,25.2
13.3,72.6
8.5,57.3
7.7,37.9
4.4,22.1
6.7,23.1
10.2,24.9
15.4,32.1
18.2,34.4
7,72.2
4.4,109.4
5.6,68.7
6.5,53.8
7,35.3
6.8,18.1
7.5,28.1
2.9,38.7
4.1,10.2
4.3,9.7
10,14.8
7.5,11.9
10.2,19.2
10,24.6
5.5,31.2
7.1,22.1
6.9,19.1
5.9,13.5
8.2,21.6
9.7,25.2
7.3,22.1
3.2,28.9
9.8,22.2
8.6,22.1
11.7,34
7.7,27.1
5.7,20.8
6,19.2
6.2,22.2
10.9,21.4
6,22
6.8,23.9
10.6,30.1
8.9,21.7
6.6,14.1
6.3,14.7
8.4,19.2
12.7,29.7
10.6,26
5.3,23.3
6.9,20.5
6.1,19.2
3.8,15.5
4.4,13.8
6.3,25.3
5.1,23.7
5.5,24.1
16.1,41
14,35.2
5.4,21.2
6.7,21.2
8.6,23.3
5,14.6
5.8,13.3
7,14.2
4.7,10.5
5.4,11.7
9.4,16.3
10.4,21.1
5.4,16.8
8.3,23.9
10.8,27.4
9.3,35.2
6.7,22.4
7.5,27.7
10.5,22.2
12.3,23.4
5.2,23.4
7,25.7
4.3,21.9
2.6,17.6
5.7,32.4
7.7,28
