pm10,nitrogen
22.4,7.6
23.8,14.8
37,18.6
22.1,4.8
27,4
26.1,5.5
33.2,5.1
31.9,8.5
26.1,4.2
33.8,5.3
30.4,5.8
25.5,12.6
26.8,14.2
25.4,10.2
24,13.5
26.9,13.4
28.6,3.9
29.4,5.7
31,12.6
44,11.6
44.9,5.4
60.1,5.5
32.9,5.1
21.9,0.7
18.7,0.3
17.5,2.8
18.8,2.9
36.4,4.3
16.9,3.7
16.5,1.4
16.5,3.9
18.8,3.8
32.9,8.5
37.4,3.1
41.8,3.1
22.9,3.8
33.2,3.4
20.3,2.4
22,4.9
22.4,5.2
22.9,7.1
22.2,7
120,6.1
48.4,8.7
33.8,2.4
37.8,4.1
29.2,7.6
29,9.5
23.6,6.6
23.5,9.2
26.5,11.4
86.1,3.7
82,7.6
24.2,5.5
33.4,4.5
18.6,4.1
22.6,4.5
33.5,6.6
24.8,6.5
19.6,11.2
19.3,5.9
29.2,9.7
27.2,8.3
26.4,7.3
33.9,13.8
19,8.6
20,7.4
16.4,5.9
22.3,6.8
18.1,7.7
20.2,1.3
26.8,10.9
24.7,7.7
25.2,10.6
34.7,6.6
23.3,5.1
23.6,6.1
16.8,0.9
21.5,7.1
21.6,8.6
28,10.1
31.3,11.8
22.1,6.8
21.9,4.9
17.4,2.5
20.5,5.5
16.9,4
17.1,4.7
20.3,6.3
22.2,6.8
18.1,4.5
22.2,11.1
26.3,6.9
29.9,4.3
28.6,4.9
22.2,2.6
28,8.5
40.4,4.9
51.1,5.4
36.2,9.1
25.6,5.5
31.5,17.1
34.2,20.5
29.4,13.3
24.9,4.9
34,3
46.7,5.9
32.5,7
30.4,6.3
38.5,9.6
56.1,5.9
43.8,2.7
36.4,4.9
25.7,6.1
25.6,10.1
27.2,10.1
33.3,5.2
38.1,7.8
55.4,2.7
30.7,5.1
20.6,4.2
19.1,4
16.1,4.2
16.9,-0.1
16,3.2
34.9,3
25,5.6
31.3,4.5
19,1.4
20,0.5
23.7,4.1
25.2,9.4
24.4,4.3
21,4.1
25.6,7.8
24,7.9
19,2.3
20.7,8.7
16.6,6.8
26.4,9.1
24.5,13.7
32.3,10.8
17.5,7
18.8,
29.1,3.6
16.5,2.9
18.1,3.8
23.8,7.8
26,7
23.7,6.5
17.5,5.2
27.6,5.6
22.3,1.3
20.5,3.8
25.2,3.9
24,2.7
16.6,3.3
18.2,5.3
21.6,8.1
35.1,19.3
29.6,7.7
22.5,7
15.7,2.6
28.7,10.8
29.7,11.6
24.6,4.8
20.2,6.6
22.5,10.2
20.4,3.1
19.6,1.3
24.5,4.9
28.3,5.8
31.7,11.3
32.5,11.6
34.5,12.2
36,9.9
59.7,3.2
26.9,11.1
79.2,4.6
38.9,3.7
32.8,8.2
41.4,7.8
50.2,2.5
24.2,3.7
28.8,9.3
32.9,18
47.9,4.8
36.7,6.6
37.8,7.6
19,4.6
19.4,8.4
26.8,17
21.9,6.2
29.2,6.2
27.3,7.3
26.4,7.3
26,3.6
46.2,1.3
42,7.8
43.2,8.9
30.9,10.8
45.3,5.6
59.2,4
22.6,3.6
19.6,2.6
26.4,11.5
31.3,10.1
35.3,5.5
35,3.4
26.7,3.4
27.7,4.6
18.9,3
20.6,3.4
25.1,4.9
39.7,8.2
27.4,7.7
20.1,6
22.2,8.2
19.4,2.7
29.5,11.3
33.6,14.3
35.7,10.3
30.1,9
27.5,9.7
30.8,5.5
25.6,5.8
31.4,11.9
40.3,4.4
30.3,3.5
33.2,4.1
23.1,4.5
24.3,5.9
32.1,6.6
29.9,6.4
31.5,3.4
28.9,5.3
29.5,6.8
33.4,5.8
22.9,5.5
21.9,1
24.1,5.3
26.1,9.9
50.3,3.8
22,6.7
16.6,3.7
20.1,5.6
27.2,11.5
30.2,10
34.7,8.3
25.1,1.8
18.6,6.3
22.7,5.1
25.1,9.3
29.8,4.2
27.2,2.7
24.4,3.1
19.1,1.9
17.6,1
22.5,3.3
19.8,5
20.5,6
22.6,9
30,11.1
33.3,14.9
27,11.9
27,5.8
16.6,9.3
29.9,6.8
38.5,4.3
40.4,4.9
34.7,4.1
23.9,4.5
32.2,8.7
29.7,8.4
30.5,7.2
28.1,4.8
43.2,5.5
30.1,3.8
27.2,6.8
29,12.6
42.9,13.6
38.5,7.5
30.2,5.1
30.9,4.3
24,2.2
28.9,9.2
42.8,6.6
28.3,5.3
25.4,4.9
30.9,2.7
60,1.5
29,2.6
19.8,2.6
22.4,5.7
27.7,13.2
34.1,12.9
38.5,3.4
35.9,9.2
22.8,4.4
24.4,4.4
31,10.7
31.5,9.5
24.8,6.2
26.6,6.3
28.6,5.8
29.1,5.4
42.9,5.3
27.3,4.5
21.7,4.6
27,7.8
31,8.9
31.3,10.1
28.5,4.9
38.9,3.5
112.2,3.4
30.6,5
31.2,3.1
24.5,3.5
32.3,7.3
28.1,2
21.6,0.2
28,5.1
27.8,3.8
28.2,4.4
28.6,2.4
27.7,2.8
19.9,2.8
19.2,1.3
19.1,2.6
22.8,4.1
37.7,4.7
26.5,6.7
27,3.2
22.5,1.6
23.2,6.2
25.8,5.6
32.6,6.7
34.2,3.6
23.5,6.2
34.1,8
24,5.6
21,2.4
67.5,6.2
35.1,5.3
26.7,1.4
18.4,4.4
21.3,6.1
17,5.4
19.8,7
28.2,8.9
46.6,16.4
39.3,8
25.3,4.3
20.5,6.1
35.5,5.1
22.4,10.1
35.2,17.3
50.7,5.1
23.4,6
20.7,9.2
37.7,5.6
24.1,6.5
18.1,7.7
16,6.1
18.1,7.8
23.7,7.5
31.4,8.6
16.4,5.7
23.3,6.8
81.2,5.8
27.2,4.9
25.6,10.2
39.7,8.5
44.2,7.1
26,4.2
29.7,3.9
22.7,5.4
21.3,10.1
17.7,5.9
21.7,5.5
30.3,5.2
24.3,5.1
22.4,5.7
83.4,8.9
22.7,8.4
25.9,11.1
34,11.5
36.6,10.1
24.7,9.8
19.5,5.8
20,3.5
18.2,4.7
29.5,6.8
35.7,6.5
21,7.1
19.2,8.3
17.7,7.4
14.9,6.3
15.8,6
15.9,7.2
21.4,9.1
25.1,12.5
35.4,19
33.8,3.7
25.5,4.5
19.7,5.8
20.6,8.4
34.4,10.3
21.8,8
30.5,13.4
23.9,10.7
27.2,10
18.8,7.3
27.3,9.9
26.1,8.9
26.8,8.1
28.3,12.1
27.2,9.2
28.7,9
30.5,4.4
25.1,7.9
21.9,9.7
39.1,21.2
31.5,14.3
37.2,13.9
39.1,7
26.4,6.3
26.7,10.3
25.2,11.3
26.8,11.6
34.4,21.9
43.1,24.3
30.2,10.5
20.6,7.8
22.7,3.9
29.4,4.5
93,7.5
23.9,7.8
27,11.9
34.2,9.8
49.2,5.3
26,6.7
25.1,8.8
25.2,18.3
23,11.2
25.2,17.4
72.6,13.3
57.3,8.5
37.9,7.7
22.1,4.4
23.1,6.7
24.9,10.2
32.1,15.4
34.4,18.2
72.2,7
109.4,4.4
68.7,5.6
53.8,6.5
35.3,7
18.1,6.8
28.1,7.5
38.7,2.9
10.2,4.1
9.7,4.3
14.8,10
11.9,7.5
19.2,10.2
24.6,10
31.2,5.5
22.1,7.1
19.1,6.9
13.5,5.9
21.6,8.2
25.2,9.7
22.1,7.3
28.9,3.2
22.2,9.8
22.1,8.6
34,11.7
27.1,7.7
20.8,5.7
19.2,6
22.2,6.2
21.4,10.9
22,6
23.9,6.8
30.1,10.6
21.7,8.9
14.1,6.6
14.7,6.3
19.2,8.4
29.7,12.7
26,10.6
23.3,5.3
20.5,6.9
19.2,6.1
15.5,3.8
13.8,4.4
25.3,6.3
23.7,5.1
24.1,5.5
41,16.1
35.2,14
21.2,5.4
21.2,6.7
23.3,8.6
14.6,5
13.3,5.8
14.2,7
10.5,4.7
11.7,5.4
16.3,9.4
21.1,10.4
16.8,5.4
23.9,8.3
27.4,10.8
35.2,9.3
22.4,6.7
27.7,7.5
22.2,10.5
23.4,12.3
23.4,5.2
25.7,7
21.9,4.3
17.6,2.6
32.4,5.7
28,7.7
