pm10,radiation
22.4,0.423
23.8,0.513
37,0.524
22.1,0.5
27,0.503
26.1,0.507
33.2,0.429
31.9,0.46
26.1,0.459
33.8,0.494
24,0.379
21.4,0.508
30.4,0.501
25.5,0.531
26.8,0.521
25.4,0.531
24,0.528
26.9,0.525
28.6,0.411
29.4,0.515
31,0.507
44,0.497
44.9,0.48
60.1,0.465
32.9,0.496
21.9,0.513
18.7,0.474
17.5,0.27
18.8,0.494
36.4,0.442
16.9,0.231
16.5,0.503
16.5,0.518
18.8,0.52
32.9,0.48
37.4,0.507
41.8,0.513
22.9,0.477
33.2,0.509
20.3,0.501
22,0.498
22.4,0.514
22.9,0.52
22.2,0.51
120,0.49
48.4,0.434
33.8,0.487
37.8,0.491
29.2,0.412
29,0.496
23.6,0.488
23.5,0.499
26.5,0.495
86.1,0.5
82,0.484
27.9,0.491
21.8,0.34
24.2,0.445
33.4,0.479
18.6,0.471
22.6,0.412
33.5,0.367
24.8,0.424
19.6,0.427
19.3,0.455
29.2,0.416
27.2,0.427
26.4,0.429
33.9,0.403
19,0.294
20,0.318
16.4,0.4
22.3,0.415
18.1,0.284
20.2,0.39
26.8,0.453
24.7,0.452
25.2,0.453
34.7,0.447
23.3,0.422
23.6,0.185
16.8,0.358
21.5,0.384
21.6,0.323
28,0.384
31.3,0.348
22.1,0.416
21.9,0.328
17.4,0.424
20.5,0.393
16.9,0.203
17.1,0.288
20.3,0.365
22.2,0.462
18.1,0.399
22.2,0.471
26.3,0.487
29.9,0.445
28.6,0.443
22.2,0.463
28,0.475
40.4,0.475
51.1,0.474
36.2,0.492
25.6,0.499
31.5,0.498
34.2,0.47
29.4,0.494
24.9,0.493
34,0.482
46.7,0.426
32.5,0.462
30.4,0.449
38.5,0.469
56.1,0.463
43.8,0.453
36.4,0.439
25.7,0.445
25.6,0.467
27.2,0.48
33.3,0.48
38.1,0.485
55.4,0.448
26.3,0.465
33.4,0.426
49,0.477
30.7,0.447
20.6,0.455
19.1,0.443
16.1,0.477
16.9,0.444
16,0.432
34.9,0.481
25,0.472
31.3,0.448
19,0.284
20,0.249
18.1,0.399
23.7,0.429
25.2,0.398
24.4,0.384
21,0.428
25.6,0.342
24,0.328
19,0.387
20.7,0.379
16.6,0.465
26.4,0.385
24.5,0.239
32.3,0.448
17.5,0.441
18.8,0.378
29.1,0.297
16.5,0.402
18.1,0.452
23.8,0.437
26,0.446
23.7,0.451
17.5,0.427
27.6,0.42
22.3,0.443
20.5,0.444
25.2,0.434
24,0.378
16.6,0.412
16.6,0.424
19.3,0.433
18.2,0.416
21.6,0.438
35.1,0.387
29.6,0.422
22.5,0.258
15.7,0.209
28.7,0.366
29.7,0.424
24.6,0.372
20.2,0.38
22.5,0.342
20.4,0.367
19.6,0.4
24.5,0.414
28.3,0.364
31.7,0.416
32.5,0.406
34.5,0.498
36,0.494
59.7,0.387
26.9,0.516
79.2,0.453
38.9,0.416
32.8,0.491
41.4,0.476
50.2,0.354
24.2,0.494
28.8,0.534
32.9,0.533
47.9,0.463
36.7,0.503
37.8,0.381
19,0.29
19.4,0.531
26.8,0.525
21.9,0.526
29.2,0.538
27.3,0.524
26.4,0.531
26,0.541
46.2,0.525
42,0.515
43.2,0.518
30.9,0.522
45.3,0.417
59.2,0.223
22.6,0.381
19.6,0.531
26.4,0.364
31.3,0.423
35.3,0.462
35,0.399
26.7,0.393
27.7,0.35
18.9,0.517
20.6,0.304
25.1,0.412
39.7,0.365
27.4,0.341
20.1,0.372
22.2,0.433
19.4,0.404
29.5,0.403
33.6,0.502
35.7,0.497
30.1,0.494
27.5,0.505
30.8,0.507
25.6,0.511
31.4,0.505
40.3,0.465
30.3,0.483
33.2,0.472
23.1,0.409
24.3,0.422
32.1,0.465
29.9,0.363
31.5,0.438
28.9,0.425
29.5,0.428
33.4,0.412
22.9,0.477
21.9,0.485
24.1,0.474
26.1,0.487
50.3,0.368
22,0.225
16.6,0.208
20.1,0.388
19.2,0.444
27.2,0.463
30.2,0.46
34.7,0.39
25.1,0.448
18.6,0.469
22.7,0.386
25.1,0.467
29.8,0.432
27.2,0.374
24.4,0.403
19.1,0.442
17.6,0.459
22.5,0.28
19.8,0.43
20.5,0.437
22.6,0.453
30,0.463
33.3,0.445
27,0.381
28.4,0.481
27.3,0.498
32.2,0.459
18.9,0.41
32.5,0.523
28.4,0.508
33,0.51
32.1,0.528
42.8,0.496
27,0.078
16.6,0.405
29.9,0.525
38.5,0.484
40.4,0.504
34.7,0.531
23.9,0.532
32.2,0.519
29.7,0.528
30.5,0.53
28.1,0.539
43.2,0.526
30.1,0.534
27.2,0.533
29,0.536
42.9,0.5
38.5,0.489
30.2,0.512
30.9,0.492
24,0.522
28.9,0.534
42.8,0.494
28.3,0.443
25.4,0.529
30.9,0.487
60,0.523
29,0.376
19.8,0.361
22.4,0.489
27.7,0.524
34.1,0.488
38.5,0.355
35.9,0.481
22.8,0.499
24.4,0.515
31,0.502
31.5,0.428
24.8,0.387
26.6,0.472
28.6,0.509
29.1,0.513
42.9,0.505
27.3,0.309
21.7,0.404
27,0.469
31,0.504
31.3,0.489
28.5,0.499
38.9,0.345
112.2,0.442
30.6,0.476
31.2,0.494
24.5,0.474
32.3,0.477
28.1,0.42
21.6,0.477
28,0.467
27.8,0.366
28.2,0.424
28.6,0.413
27.7,0.451
19.9,0.464
19.2,0.474
19.1,0.463
22.8,0.414
37.7,0.457
26.5,0.449
27,0.471
22.5,0.459
23.2,0.471
25.8,0.372
32.6,0.442
34.2,0.411
23.5,0.437
34.1,0.36
24,0.417
18.6,0.462
21,0.459
67.5,0.453
35.1,0.409
26.7,0.381
18.4,0.397
21.3,0.447
17,0.533
19.8,0.527
28.2,0.529
46.6,0.483
39.3,0.517
25.3,0.524
20.5,0.55
35.5,0.533
22.4,0.558
35.2,0.546
50.7,0.391
23.4,0.524
20.7,0.446
37.7,0.413
24.1,0.476
18.1,0.494
16,0.531
18.1,0.545
23.7,0.537
31.4,0.535
16.4,0.531
23.3,0.512
81.2,0.499
27.2,0.509
25.6,0.51
39.7,0.41
44.2,0.428
26,0.467
29.7,0.521
22.7,0.53
21.3,0.324
17.7,0.452
21.7,0.476
30.3,0.492
24.3,0.501
22.4,0.524
83.4,0.508
22.7,0.527
25.9,0.521
34,0.514
36.6,0.52
24.7,0.526
30.8,0.519
30.6,0.476
30.1,0.494
26.5,0.478
19.5,0.498
20,0.473
18.2,0.498
29.5,0.468
35.7,0.477
21,0.399
19.2,0.415
17.7,0.388
14.9,0.468
15.8,0.497
15.9,0.505
21.4,0.491
25.1,0.485
35.4,0.44
33.8,0.507
25.5,0.453
19.7,0.487
20.6,0.494
34.4,0.419
21.8,0.48
30.5,0.291
23.9,0.461
27.2,0.471
18.8,0.476
27.3,0.477
26.1,0.474
26.8,0.476
28.3,0.406
27.2,0.46
28.7,0.465
30.5,0.439
25.1,0.387
21.9,0.471
39.1,0.46
31.5,0.44
37.2,0.416
39.1,0.441
26.4,0.404
26.7,0.41
25.2,0.449
26.8,0.445
34.4,0.441
43.1,0.436
30.2,0.442
20.6,0.145
22.7,0.294
29.4,0.518
93,0.451
23.9,0.307
27,0.289
34.2,0.512
49.2,0.522
26,0.541
25.1,0.517
25.2,0.508
23,0.529
25.2,0.525
72.6,0.505
57.3,0.461
37.9,0.514
22.1,0.522
23.1,0.522
24.9,0.533
32.1,0.521
34.4,0.524
72.2,0.462
109.4,0.463
68.7,0.495
53.8,0.443
35.3,0.492
18.1,0.518
28.1,0.529
38.7,0.415
10.2,0.149
9.7,0.162
14.8,0.249
11.9,0.392
19.2,0.318
24.6,0.493
31.2,0.512
22.1,0.461
19.1,0.426
13.5,0.41
21.6,0.483
25.2,0.519
22.1,0.527
28.9,0.497
22.2,0.468
22.1,0.511
34,0.502
27.1,0.506
20.8,0.501
19.2,0.448
22.2,0.349
21.4,0.348
22,0.446
23.9,0.501
30.1,0.342
21.7,0.422
14.1,0.475
14.7,0.5
19.2,0.405
29.7,0.507
26,0.425
23.3,0.505
20.5,0.496
19.2,0.381
15.5,0.403
13.8,0.447
25.3,0.482
23.7,0.483
24.1,0.48
41,0.487
35.2,0.482
21.2,0.462
21.2,0.482
23.3,0.295
14.6,0.402
13.3,0.415
14.2,0.262
10.5,0.264
11.7,0.309
16.3,0.366
21.1,0.448
16.8,0.442
23.9,0.483
27.4,0.477
35.2,0.432
22.4,0.436
27.7,0.45
22.2,0.473
23.4,0.472
23.4,0.468
25.7,0.472
21.9,0.458
17.6,0.441
32.4,0.452
28,0.387
