pm25,humidity
6.7,42.9
7.4,35.9
11.2,22.2
8,23
7.2,25
8.6,21.4
9.6,19.8
8.8,22.3
8.4,20.3
12,24.4
7.6,32.8
7.6,24.8
8.6,14.2
7.1,13.1
7.4,11.3
6.5,9.2
6.6,8.5
8.5,6.3
10.3,15.3
7.6,23.7
11.9,27.3
12.2,18.7
13,19.5
14.5,28.5
9.2,33.2
8.3,30.6
7.5,39.2
6.8,58.4
7.2,37.9
9.6,33.1
6.5,56.8
5.3,44
6.1,24.3
7.4,17.6
9.3,16.7
8.2,21.7
10.4,26.7
6.5,24.6
9.7,24.6
6.8,18.3
6.5,16.4
6.5,15.1
6.8,13
6.7,12
19.5,18
13.1,22.9
10.9,21.6
10.4,29
9.7,30.3
8.8,25.7
6.4,24.2
6.8,18.2
8.1,17
21.7,19.2
20.8,26.5
9,31.2
8,44.4
9.1,30.6
10.9,30.2
7,36.4
7.2,33.5
8.2,42.1
7,49.6
6.1,48.7
5.8,44.6
7.8,39.7
7.9,31
8.3,28.2
10.5,33.5
6.5,44
4.6,52.6
4.6,47.9
6.2,39.9
5.8,54
5.7,38.8
7.3,28
6.9,23.6
6.6,21.7
7.5,35.2
5.9,40.4
7.2,41.5
5.5,50.4
7,53.2
6.6,55
7.6,43.3
8.3,40.6
6.8,41.5
7.6,49.5
5.9,48.8
7.4,47.7
6.6,65.3
6.5,59.4
7.9,38.7
8.6,30.9
6.9,28.3
12.1,26.1
16.9,21.3
10.1,26.5
6.3,32.9
4.6,34.9
7.8,20.7
11.3,12.3
10.4,10.3
9.5,13.3
5.8,10.7
7.7,7.2
8.8,6.9
8.7,4.6
9.2,4.9
10.5,13.4
10.7,30.3
9,26.5
8,22.4
9.7,17
13.3,13.8
11.4,30.5
12.2,42.4
9.4,39.3
8,35.9
7.5,16.1
9.7,13.9
9.1,10.9
12.9,31.3
9,25.4
10.2,19.2
12.3,18.2
9.4,26.2
6,24.4
5.9,32
4.7,28.1
3.8,22.5
3.9,23.3
5.6,28.5
9.8,42.8
7.2,49.7
7,44.8
4.6,48.3
5,36.4
8.7,47.8
5.5,55.2
6.7,42.2
6.8,31.2
7.5,29.7
7.7,35.6
4.7,36.5
8.7,35.6
7.2,44.2
5.9,38.5
7.4,31.8
7.3,42.5
5.1,51.2
4.7,43.7
5.1,41.8
4.6,45.3
6,32.4
9.1,24.9
6.4,38.7
5.5,46.6
4.8,67.9
7.1,58.3
8,43.7
6.2,49.6
5.4,54.7
7.4,54.8
7.2,47.1
6.8,38.4
9.2,33.5
10.5,35.5
8.6,27.3
9.8,26
8.4,7.1
10,8.6
18.8,35.5
14.4,34.1
18.1,15.5
11.8,17.7
10.2,13.4
10.6,13.6
10.4,20.6
8.8,17.2
8.2,7.5
9.3,6
13.9,20
10.2,21
9.6,26.7
7,60.9
5.4,36.8
6.4,25
4.2,18
6.6,12.4
6,25.3
5,15.5
4.6,8.2
10.5,17.5
10.1,18
10.4,18.8
6.3,15.1
7,14.3
9.8,30.3
5.8,31.6
4.8,17
5.4,9.3
5.2,16.5
7.2,19
8.3,28.7
6.2,36.6
6.8,43.3
4.4,41.3
4.4,42.8
6.9,48.2
9,48.2
6.8,49.1
4.3,50.9
4.1,41.2
3.7,48.9
5.1,57.2
8.2,42.4
10.3,25.5
7.5,22.5
6.3,20.6
6.8,22.4
6.7,15.5
8.2,14.4
9.5,22.5
8.3,24.1
8.9,31.9
7,41.4
8.2,24.6
9.5,20.7
6.9,28.5
7.6,38.3
8.4,32.3
8.6,23
8.9,25.3
5.7,30.9
6.5,22.8
6.6,23.8
6.2,21.4
9.3,35.8
5.8,44.9
5.5,52
6.9,48.5
6.9,46.9
8.9,35.4
9.2,31.4
10.7,34
7.4,39.9
6.4,47.5
7.4,43
8.9,37.1
9.2,33.9
9.9,37.2
8.8,37
5.8,52.8
4.9,45.6
6.6,40.4
5.6,33
5.7,31.9
8.2,23.4
8.4,19.3
8.3,25
7.4,24.3
11.4,34.1
10.2,35.4
10.1,41.6
4.9,39.4
6,29.1
6.5,19.2
9,13.9
7.6,11
9,14.6
5.4,65.3
6.2,60.1
7.2,31.1
9.9,31.6
9.3,22.9
8.2,13.1
7.5,10.9
8.7,11
8.5,16.7
9.1,9.4
7,7.8
8.9,9
6.8,8.2
7.1,10.9
7.5,9.6
12.5,13.6
11.3,19.5
12.5,21.6
12.1,27.7
9.2,21.5
10.6,16
12.5,18.4
7.7,21.7
5.9,16.1
8.3,17.8
13.5,20.5
7.8,35.6
5.7,39.5
6.1,29.9
7.9,14.2
9.3,17.4
9.7,25
10.6,29.7
7.7,23.5
7.8,19.6
9.3,17.5
8.9,18.6
7.4,24.1
8.4,34
7.4,26.2
7.3,23.9
9.9,19.5
9.6,33.2
7.6,46.3
7.2,29.7
7.7,19.2
7.8,15.6
7.5,17.8
7.8,26.5
23.2,35.8
8.7,31
8.2,32.8
6.1,34.3
8.4,23.8
8,25.4
7,35.9
8.6,23.7
7.2,28.9
6.6,28.6
5.7,39.9
5.7,34.6
5.7,52.1
4.9,40.3
5.7,31.9
5.6,24
9.1,31.6
9,34.8
7.8,29.4
6.8,23.5
6.6,14.1
7.8,19.1
9.3,24.3
11.9,27.6
8.5,37.1
9.3,39.4
7.1,38.8
6.4,33.7
6.8,25.4
14.8,28.3
9.3,29.8
7.7,36.5
7.5,44.8
7.8,35.3
5.2,25.6
5.5,24.6
6.1,19.6
9.5,16.2
8.2,16
5.6,15.6
4.5,8.7
6.9,18.3
4.3,7.1
9,8.7
10.1,24.6
6.1,38.1
5.3,30.5
7.4,15.9
6,16.8
4,20
3.4,17.3
4.5,9.6
5.1,10.3
10.9,9.7
5.7,10
9,7.9
13,19.5
6.6,24.1
7.3,25.2
7.8,19.3
8.3,21.5
5.8,21.4
10.9,27.2
8,24.2
5.7,19.6
4.8,27.8
5.1,23.6
7.8,23.2
5.6,23
5.7,24.5
25.7,22.3
6.3,17.5
7.6,14.5
9.6,13.4
10.3,16.6
6.6,10.7
7,13
10.6,22.4
7.2,27.3
8.7,25.1
6.5,24.1
6.2,25.4
5.3,25.2
8.8,31.8
10.4,35.2
7.5,37.8
6.3,45
5.6,62.5
5,53.6
4.7,41.7
3.6,33.6
5.4,27.2
5.8,23.8
8.3,19.6
7.8,26.5
7.2,27.8
4.8,27.1
5.8,27.2
7.4,20.6
4.5,19.9
6.3,23.4
5.5,25.4
7.5,26.4
5.2,23.6
6.3,18.7
6.2,17.6
6.8,15
7.3,15
6.9,14.3
7.3,12.9
7.6,20.5
8.3,26.5
8.3,25.2
12.5,18.5
9.1,15.8
13.9,18.1
11.9,21.6
13.1,20.8
10.6,21
7.5,20
8.5,19.5
10.3,17
12.3,15.3
9.4,19
7.3,27.5
6.1,37.2
9.8,38.4
26.4,31.3
8.5,25.7
6.6,25.5
8,19
15.4,9.4
7.1,9.8
6.4,10.7
7.9,9
7,7.9
9.1,7.3
18.6,10.7
16.8,13.6
11.3,14.4
7.7,23.3
8.2,16.9
9.6,16.9
10,15
10.9,10.7
17.7,10.9
29,21
20.9,32.1
18.3,21.3
15,23.6
7.3,21.8
8.9,12.8
15.4,49
5.8,73
5,70.7
6.6,72.1
4.5,59.3
4,57.2
5.7,49.1
5.4,39.9
5.4,46.6
6,47.9
4.5,44.6
6.6,34.8
7.6,26.7
5.8,25.3
6.5,40.4
9,47
13.9,34.6
13.6,25.8
8.7,31.3
6.6,37.6
6.3,38.1
8.1,54
8.3,55
9.9,39.1
10.8,29.9
11.4,25.1
8.4,44.3
5.2,53.8
3.9,47.1
5.4,43.6
8.4,34.5
7.7,31.2
7.2,36
6.6,32.5
5.8,36.6
5.5,39.6
7.2,47.6
16.9,40
13,30.1
13.3,26.5
13.9,28.9
11.5,23.1
6,27.3
5.6,32.8
6.1,44.8
3.6,57.8
3.2,58.9
3.7,70
2.9,71.1
2.7,66.7
4.1,65.5
5.8,54.9
5.6,48.5
5.6,42.1
7,34
7,44
7,43.8
6,35
5.1,35.2
5.8,28.1
6.2,31.5
6.7,32.7
6.6,30.5
6.3,33.6
10.1,42.8
10.3,47.8
